stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome,movement
0,11-02-53,60,46.125,13.875,1,0,1,13.885
1,11-02-55,60,46.125,13.875,1,0.0,1,13.885
2,11-02-56,60,46.0,14.0,1,-0.125,1,20.259999999999998
3,11-02-58,60,46.125,13.875,1,0.125,1,7.635
4,11-02-59,60,46.125,13.875,1,0.0,1,13.885
5,11-03-01,60,46.125,13.875,1,0.0,1,13.885
6,11-03-02,60,46.125,13.875,1,0.0,1,13.885
7,11-03-04,60,46.0,14.0,1,-0.125,1,20.259999999999998
8,11-03-05,60,46.0,14.0,1,0.0,1,14.01
9,11-03-07,60,46.0,14.0,1,0.0,1,14.01
10,11-03-08,60,46.0,14.0,1,0.0,1,14.01
11,11-03-10,60,46.0,14.0,1,0.0,1,14.01
12,11-03-11,60,46.0,14.0,1,0.0,1,14.01
13,11-03-13,60,46.0,14.0,1,0.0,1,14.01
14,11-03-14,60,46.0,14.0,1,0.0,1,14.01
15,11-03-16,60,46.0,14.0,1,0.0,1,14.01
16,11-03-17,60,46.0,14.0,1,0.0,1,14.01
17,11-03-19,60,45.875,14.125,1,-0.125,1,20.384999999999998
18,11-03-20,60,46.0,14.0,1,0.125,1,7.76
19,11-03-22,60,46.0,14.0,1,0.0,1,14.01
20,11-03-23,60,46.0,14.0,1,0.0,1,14.01
21,11-03-25,60,46.0,14.0,1,0.0,1,14.01
22,11-03-26,60,46.0,14.0,1,0.0,1,14.01
23,11-03-28,60,46.0,14.0,1,0.0,1,14.01
24,11-03-29,60,46.0,14.0,1,0.0,1,14.01
25,11-03-31,60,46.0,14.0,1,0.0,1,14.01
26,11-03-32,60,46.125,13.875,1,0.125,1,7.635
27,11-03-33,60,46.125,13.875,1,0.0,1,13.885
28,11-03-35,60,46.25,13.75,1,0.125,1,7.51
29,11-03-36,60,46.375,13.625,1,0.125,1,7.385
30,11-03-38,60,46.375,13.625,1,0.0,1,13.635
31,11-03-39,60,46.375,13.625,1,0.0,1,13.635
32,11-03-41,60,46.375,13.625,1,0.0,1,13.635
